  Ave   :   Min   :   Max   :   Cur   :   # : Profile Name
-------------------------------------------------
 34.50% :  34.50% :  34.50% :  34.50% :   1 : update (43.41ms)
 34.50% :  34.50% :  34.50% :  34.50% :   1 :     world (43.40ms)
  8.27% :   8.27% :   8.27% :   8.27% :   1 :         obj01 (10.40ms)
  8.72% :   8.72% :   8.72% :   8.72% :   1 :         obj02 (10.97ms)
  8.70% :   8.70% :   8.70% :   8.70% :   1 :         obj03 (10.94ms)
  8.77% :   8.77% :   8.77% :   8.77% :   1 :         obj04 (11.03ms)
 65.48% :  65.48% :  65.48% :  65.48% :   1 : render (82.38ms)
 65.48% :  65.48% :  65.48% :  65.48% :   1 :     world (82.38ms)
 16.65% :  16.65% :  16.65% :  16.65% :   1 :         obj01 (20.95ms)
 15.93% :  15.93% :  15.93% :  15.93% :   1 :         obj02 (20.04ms)
 16.73% :  16.73% :  16.73% :  16.73% :   1 :         obj03 (21.04ms)
 16.13% :  16.13% :  16.13% :  16.13% :   1 :         obj04 (20.30ms)

